commit,summary,status,project,createdAt,completedAt
"aa66b02","Add documentation link and minor changes/fixes","Done","ClusterMaster","2026-01-13","2026-01-13"
"382fd51","Add CloudWatch monitoring option for EKS cluster creation","Done","ClusterMaster","2025-11-23","2025-11-23"
"bc12e95","Add AWS CloudWatch monitoring for EKS clusters","Done","ClusterMaster","2025-11-20","2025-11-20"
"e0b4dbb","Added backup for AWS cluster, fixed backup location path","Done","ClusterMaster","2025-11-18","2025-11-18"
"f6d0abc","Handle already deleted clusters and node groups","Done","ClusterMaster","2025-11-17","2025-11-17"
"bc7fada","Add automatic node group migration on instance type change","Done","ClusterMaster","2025-11-17","2025-11-17"
"98d4560","Add AWS EKS integration with credentials management","Done","ClusterMaster","2025-11-17","2025-11-17"
"2e518a7","Fixed app install and uninstall for AWS EKS","Done","ClusterMaster","2025-11-17","2025-11-17"
"8f272d7","Add CPU/RAM metrics support for EKS clusters","Done","ClusterMaster","2025-11-15","2025-11-15"
"ebd601e","Add AWS Console configuration options and Terraform state management","Done","ClusterMaster","2025-11-09","2025-11-09"
"feb9253","Merge pull request #11 from StanislawSkotniczny/stab","Done","ClusterMaster","2025-10-24","2025-10-24"
"2ab3522","Add auto-select cluster when navigating to app store from cluster details","Done","ClusterMaster","2025-10-23","2025-10-23"
"9b6ccc8","Add node logs modal and complete notification system","Done","ClusterMaster","2025-10-23","2025-10-23"
"aeb30bd","Notifications fix","Done","ClusterMaster","2025-10-23","2025-10-23"
"e01577f","Enhance cluster details with management controls","Done","ClusterMaster","2025-10-23","2025-10-23"
"b25c2a0","UI fixes","Done","ClusterMaster","2025-10-22","2025-10-22"
"ab50f64","Add SSE notifications with Firebase, modal view, and delete functionality","Done","ClusterMaster","2025-10-21","2025-10-21"
"e4051f9","Add real-time Helm output capture for app installations","Done","ClusterMaster","2025-10-20","2025-10-20"
"d0ac490","Fix monitoring page added port forward","Done","ClusterMaster","2025-10-16","2025-10-16"
"524910e","Fix monitoring management and k3d cluster support","Done","ClusterMaster","2025-10-15","2025-10-15"
"e0e9779","K3d cluster system resources support","Done","ClusterMaster","2025-10-14","2025-10-14"
"20b2c98","Fix global state management with Pinia and k3d support","Done","ClusterMaster","2025-10-14","2025-10-14"
"2e35093","Merge pull request #10 from StanislawSkotniczny/dev","Done","ClusterMaster","2025-10-14","2025-10-14"
"4902bf5","Cron change","Done","ClusterMaster","2025-10-13","2025-10-13"
"837b044","CI/CD pipeline fixes","Done","ClusterMaster","2025-10-13","2025-10-13"
"0c8eb16","Resolve CI/CD pipeline errors","Done","ClusterMaster","2025-10-13","2025-10-13"
"070e2be","Requirements file update","Done","ClusterMaster","2025-10-13","2025-10-13"
"0743153","CI/CD fix","Done","ClusterMaster","2025-10-13","2025-10-13"
"d9196dd","CI/CD fixes","Done","ClusterMaster","2025-10-13","2025-10-13"
"0be52aa","Implement comprehensive CI/CD pipeline with GitHub Actions fix","Done","ClusterMaster","2025-10-13","2025-10-13"
"eb3dd3e","Implement comprehensive CI/CD pipeline with GitHub Actions","Done","ClusterMaster","2025-10-13","2025-10-13"
"9de695f","UI improvements across all views","Done","ClusterMaster","2025-10-12","2025-10-12"
"7c575bd","Add full k3d support alongside Kind with dual-provider architecture","Done","ClusterMaster","2025-10-11","2025-10-11"
"f8d7f6e","Added local cluster scaling","Done","ClusterMaster","2025-10-11","2025-10-11"
"3e73183","Add Helm chart search and install functionality to App Store","Done","ClusterMaster","2025-10-11","2025-10-11"
"dea2f22","Optimize cluster listing with async execution and optional resources","Done","ClusterMaster","2025-10-11","2025-10-11"
"05c4fb3","Fix app uninstall functionality - handle release name correctly","Done","ClusterMaster","2025-09-14","2025-09-14"
"c04c8fe","Added cluster details page","Done","ClusterMaster","2025-09-09","2025-09-09"
"c2f19db","Added backend and frontend for cluster backups","Done","ClusterMaster","2025-09-03","2025-09-03"
"afab755","Fixed monitoring view","Done","ClusterMaster","2025-09-03","2025-09-03"
"76b024c","Added monitoring view","Done","ClusterMaster","2025-09-01","2025-09-01"
"6fdf846","Merge pull request #9 from StanislawSkotniczny/dev","Done","ClusterMaster","2025-09-01","2025-09-01"
"12ddff3","Added dynamic port handling for monitoring stack","Done","ClusterMaster","2025-09-01","2025-09-01"
"b390778","Added Grafana and Prometheus monitoring to cluster","Done","ClusterMaster","2025-09-01","2025-09-01"
"5caabd9","Fixed adding clusters properly","Done","ClusterMaster","2025-08-20","2025-08-20"
"d636dcc","API integration","Done","ClusterMaster","2025-06-15","2025-06-15"
"8a2e34b","Backend setup and local cluster deployment","Done","ClusterMaster","2025-06-13","2025-06-13"
"ea65a65","Prepare requirements for backend","Done","ClusterMaster","2025-06-01","2025-06-01"
"fc215b7","Added Cluster deploy page","Done","ClusterMaster","2025-06-01","2025-06-01"
"9356430","UI update","Done","ClusterMaster","2025-05-31","2025-05-31"
"71bbea1","Adding user state with Pinia","Done","ClusterMaster","2025-05-30","2025-05-30"
"4dfd74f","Registration and Sign in with Firebase Auth","Done","ClusterMaster","2025-05-30","2025-05-30"
"005edeb","Added Vue Router","Done","ClusterMaster","2025-05-30","2025-05-30"
"53ac05c","Merge pull request #6 from StanislawSkotniczny/stab","Done","ClusterMaster","2025-05-23","2025-05-23"
"3f253d6","Create frontend Vue structure","Done","ClusterMaster","2025-05-23","2025-05-23"
"abadadd","Initial commit","Done","ClusterMaster","2025-05-23","2025-05-23"
